Nom,Adresse,Ville,Metier_normalise,Heures_ouverture,Nombre_avis,Note,Jours_fermeture,Date_introduction,Date_verification,Filtré,Actif
Au Bon Boeuf Charolais,"3 Rue Adolphe Péronnet, 38500 Voiron, France",Voiron,Boucherie_traiteur_rotisseur,"lundi: Fermé; mardi: 07:00 – 12:30, 14:00 – 19:00; mercredi: 07:00 – 12:30, 14:00 – 19:00; jeudi: 07:00 – 12:30, 14:00 – 19:00; vendredi: 07:00 – 12:30, 14:00 – 19:00; samedi: 07:00 – 12:30, 14:00 – 18:00; dimanche: Fermé",20,4.8,2,2025-10-22,2025-10-24,Non,Oui
Au carnets des saisons,"37 Rue Alfred Buttin, 38140 Rives, France",Rives,Superette,"lundi: Fermé; mardi: 13:00 – 19:00; mercredi: 07:30 – 12:30, 15:00 – 19:00; jeudi: 07:30 – 12:30, 15:00 – 19:00; vendredi: 07:30 – 12:30, 15:00 – 19:00; samedi: 07:30 – 12:30, 15:00 – 19:00; dimanche: 07:30 – 12:00",44,4.8,1,2025-10-22,2025-10-24,Non,Oui
Au palais de la viande,"3 Rue de l'Isle, 38340 Voreppe, France",Voreppe,Boucherie_traiteur_rotisseur,"lundi: Fermé; mardi: 07:00 – 12:30, 14:30 – 19:30; mercredi: 07:00 – 12:30, 14:30 – 19:30; jeudi: 07:00 – 12:30, 14:30 – 19:30; vendredi: 07:00 – 12:30, 14:30 – 19:30; samedi: 07:00 – 12:30, 14:30 – 19:30; dimanche: 07:00 – 12:15",55,4.7,1,2025-10-22,2025-10-24,Non,Oui
Au Panier Doré,"18 Rue des Terreaux, 38500 Voiron, France",Voiron,Superette,lundi: 08:30 – 19:00; mardi: 08:30 – 19:00; mercredi: 08:30 – 19:00; jeudi: 08:30 – 19:00; vendredi: 08:30 – 19:00; samedi: 08:30 – 19:00; dimanche: 09:00 – 12:00,90,4.8,0,2025-10-22,2025-10-24,Non,Oui
Au Petit Primeur,"Rte de Saint-Quentin, 38210 Tullins, France",Tullins,Superette,lundi: Fermé; mardi: 06:00 – 19:00; mercredi: 06:00 – 19:00; jeudi: 06:00 – 19:00; vendredi: 06:00 – 19:00; samedi: 06:00 – 19:30; dimanche: 06:30 – 12:30,156,4.3,1,2025-10-22,2025-10-24,Non,Oui
Auchan Supermarché Marseille Saint-Lazare,"66 Bd de Strasbourg, 13003 Marseille, France",Marseille,Superette,lundi: 08:00 – 20:00; mardi: 08:00 – 20:00; mercredi: 08:00 – 20:00; jeudi: 08:00 – 20:00; vendredi: 08:00 – 20:00; samedi: 08:00 – 20:00; dimanche: 08:00 – 12:30,1623,3.7,0,2025-10-22,2025-10-24,Non,Oui
Augexia Partner,"165 Rue Louis Barran Bâtiment Mira, 38430 Saint-Jean-de-Moirans, France",Saint-Jean-de-Moirans,Comptable,lundi: 08:00 – 17:00; mardi: 08:00 – 17:00; mercredi: 08:00 – 17:00; jeudi: 08:00 – 17:00; vendredi: 08:00 – 17:00; samedi: Fermé; dimanche: Fermé,12,4.9,2,2025-10-22,2025-10-24,Non,Oui
Aux bons faiseurs - Cave à vin - Restaurant - Bar à Vin - Bio Biodynamie Nature,"88 Rue d'Italie, 13006 Marseille, France",Marseille,Vin_Spritueux,"lundi: 16:00 – 22:00; mardi: 16:00 – 22:00; mercredi: 16:00 – 22:00; jeudi: 10:00 – 13:00, 16:00 – 22:00; vendredi: 10:00 – 13:00, 16:00 – 22:00; samedi: 10:00 – 22:00; dimanche: Fermé",47,4.8,1,2025-10-22,2025-10-24,Non,Oui
Avocat Delavaud Anne-Sophie,"99 Chem. du Roucas Blanc, 13007 Marseille, France",Marseille,Avocat,lundi: 08:30 – 20:00; mardi: 08:30 – 20:00; mercredi: 08:30 – 20:00; jeudi: 08:30 – 20:00; vendredi: 08:30 – 20:00; samedi: 08:30 – 12:30; dimanche: Fermé,108,4.9,1,2025-10-22,2025-10-24,Non,Oui
Avocat Marseille - Dorine Sekly Livrati,"132 Rue Paradis, 13006 Marseille, France",Marseille,Avocat,lundi: 09:30 – 20:00; mardi: 09:30 – 20:00; mercredi: 09:30 – 20:00; jeudi: 09:30 – 20:00; vendredi: 09:30 – 16:00; samedi: Fermé; dimanche: Fermé,67,4.9,2,2025-10-22,2025-10-24,Non,Oui
