Nom,Adresse,Ville,Metier_normalise,Heures_ouverture,Nombre_avis,Note,Jours_fermeture,Date_introduction,Date_verification,Filtré,Actif
MY COMPTA SOLUTION,"444 Rue Paradis, 13008 Marseille, France",Marseille,Comptable,lundi: 08:00 – 18:00; mardi: 08:00 – 18:00; mercredi: 08:00 – 18:00; jeudi: 08:00 – 18:00; vendredi: 08:00 – 18:00; samedi: Fermé; dimanche: Fermé,29,4.9,2,2025-10-22,2025-10-24,Non,Oui
MyPrivate Transfer - Chauffeur Privé VTC Premium à Marseille,"113 Rue de la République, 13002 Marseille, France",Marseille,Chauffeur,lundi: Ouvert 24h/24; mardi: Ouvert 24h/24; mercredi: Ouvert 24h/24; jeudi: Ouvert 24h/24; vendredi: Ouvert 24h/24; samedi: Ouvert 24h/24; dimanche: Ouvert 24h/24,14,5,6,2025-10-22,2025-10-24,Non,Oui
Médecin Marseille 13014 Dr Brahim Nassali - Docteur Généraliste,"58 Chem. de Gibbes, 13014 Marseille, France",Marseille,Médecin,,,,,2025-10-22,2025-10-22,Non,Oui
NATURALIA,"20 La Canebière, 13001 Marseille, France",Marseille,Superette,lundi: 09:00 – 20:00; mardi: 09:00 – 20:00; mercredi: 09:00 – 20:00; jeudi: 09:00 – 20:00; vendredi: 09:00 – 20:00; samedi: 09:00 – 20:00; dimanche: 09:00 – 12:45,211,4.4,0,2025-10-22,2025-10-24,Non,Oui
NATURALIA,"46 Av. du Prado, 13006 Marseille, France",Marseille,Superette,lundi: 09:00 – 20:00; mardi: 09:00 – 20:00; mercredi: 09:00 – 20:00; jeudi: 09:00 – 20:00; vendredi: 09:00 – 20:00; samedi: 09:00 – 20:00; dimanche: 09:00 – 12:45,193,4.2,0,2025-10-22,2025-10-24,Non,Oui
Naturalia,"44 Rue de Rome, 13001 Marseille, France",Marseille,Superette,lundi: 09:00 – 20:00; mardi: 09:00 – 20:00; mercredi: 09:00 – 20:00; jeudi: 09:00 – 20:00; vendredi: 09:00 – 20:00; samedi: 09:00 – 20:00; dimanche: 09:00 – 12:45,142,4.4,0,2025-10-22,2025-10-24,Non,Oui
NATURALIA,"83 Rue de Lodi, 13006 Marseille, France",Marseille,Superette,lundi: 09:00 – 20:00; mardi: 09:00 – 20:00; mercredi: 09:00 – 20:00; jeudi: 09:00 – 20:00; vendredi: 09:00 – 20:00; samedi: 09:00 – 20:00; dimanche: 09:00 – 12:45,160,4.3,0,2025-10-22,2025-10-24,Non,Oui
NATURALIA,"140 La Canebière, 13001 Marseille, France",Marseille,Superette,lundi: 09:00 – 20:00; mardi: 09:00 – 20:00; mercredi: 09:00 – 20:00; jeudi: 09:00 – 20:00; vendredi: 09:00 – 20:00; samedi: 09:00 – 20:00; dimanche: 09:00 – 12:45,224,4.2,0,2025-10-22,2025-10-24,Non,Oui
NATURALIA,"75 Rue de la République, 13002 Marseille, France",Marseille,Superette,lundi: 09:00 – 20:00; mardi: 09:00 – 20:00; mercredi: 09:00 – 20:00; jeudi: 09:00 – 20:00; vendredi: 09:00 – 20:00; samedi: 09:00 – 20:00; dimanche: 09:00 – 12:45,340,4,0,2025-10-22,2025-10-24,Non,Oui
NATURALIA,"30 Rue des Électriciens, 13012 Marseille, France",Marseille,Superette,lundi: 09:00 – 20:00; mardi: 09:00 – 20:00; mercredi: 09:00 – 20:00; jeudi: 09:00 – 20:00; vendredi: 09:00 – 20:00; samedi: 09:00 – 20:00; dimanche: 09:00 – 12:45,198,4.2,0,2025-10-22,2025-10-24,Non,Oui
"NECA Notaires - Office Notarial de Marseille - Chau, Martinez Perez, Gross-Loridon","40 La Canebière, 13001 Marseille, France",Marseille,Notaire,"lundi: 09:00 – 12:30, 14:00 – 18:00; mardi: 09:00 – 12:30, 14:00 – 18:00; mercredi: 09:00 – 12:30, 14:00 – 18:00; jeudi: 09:00 – 12:30, 14:00 – 18:00; vendredi: 09:00 – 12:30, 14:00 – 18:00; samedi: Fermé; dimanche: Fermé",56,4.2,2,2025-10-22,2025-10-24,Non,Oui
Nicolas JULLIARD - Laurence CHAMPENOIS,"68 Bd Franklin Roosevelt, 38500 Voiron, France",Voiron,Notaire,"lundi: 09:00 – 12:00, 14:00 – 17:30; mardi: 09:00 – 12:00, 14:00 – 17:30; mercredi: 09:00 – 12:00, 14:00 – 17:30; jeudi: 09:00 – 12:00, 14:00 – 17:30; vendredi: 09:00 – 12:00, 14:00 – 17:30; samedi: Fermé; dimanche: Fermé",89,4.4,2,2025-10-22,2025-10-24,Non,Oui
NMMY,"93 Bd de la Blancarde, 13004 Marseille, France",Marseille,Superette,lundi: 07:30 – 19:30; mardi: 07:30 – 19:30; mercredi: 07:30 – 19:30; jeudi: 07:30 – 19:30; vendredi: 07:30 – 19:30; samedi: 07:30 – 19:30; dimanche: 08:30 – 12:30,73,4.6,0,2025-10-22,2025-10-24,Non,Oui
NOTAIRES - LES DOCKS - MARSEILLE,"Atrium 10.2, 10 Pl. de la Joliette, 13002 Marseille, France",Marseille,Notaire,"lundi: 09:00 – 12:30, 14:00 – 17:30; mardi: 09:00 – 12:30, 14:00 – 17:30; mercredi: 09:00 – 12:30, 14:00 – 17:30; jeudi: 09:00 – 12:30, 14:00 – 17:30; vendredi: 09:00 – 12:30, 14:00 – 17:30; samedi: Fermé; dimanche: Fermé",79,4,2,2025-10-22,2025-10-24,Non,Oui
NOTAIRES Florian MASSAD - ZAOUI Carole,"Le Primavera, 114 Bd Pinatel, 13012 Marseille, France",Marseille,Notaire,"lundi: 09:00 – 12:30, 14:00 – 19:00; mardi: 09:00 – 12:30, 14:00 – 19:00; mercredi: 09:00 – 12:30, 14:00 – 19:00; jeudi: 09:00 – 12:30, 14:00 – 19:00; vendredi: 09:00 – 12:30, 14:00 – 19:00; samedi: Fermé; dimanche: Fermé",85,4.9,2,2025-10-22,2025-10-24,Non,Oui
Notre Cave du Mont,"10 Rue de Lodi, 13006 Marseille, France",Marseille,Vin_Spritueux,"lundi: 16:00 – 20:00; mardi: 10:00 – 13:00, 16:00 – 20:00; mercredi: 10:00 – 13:00, 16:00 – 20:00; jeudi: 10:00 – 13:00, 16:00 – 20:00; vendredi: 10:00 – 13:00, 16:00 – 20:00; samedi: 10:00 – 20:00; dimanche: Fermé",39,4.8,1,2025-10-22,2025-10-24,Non,Oui
NOVALLIANCE EXPERTISE COMPTABLE,"24 Bis Bd Barral Bât 1, 13008 Marseille, France",Marseille,Comptable,"lundi: 08:30 – 12:30, 14:00 – 18:00; mardi: 08:30 – 12:30, 14:00 – 18:00; mercredi: 08:30 – 12:30, 14:00 – 18:00; jeudi: 08:30 – 12:30, 14:00 – 18:00; vendredi: 08:30 – 12:30, 14:00 – 17:00; samedi: Fermé; dimanche: Fermé",39,4.8,2,2025-10-22,2025-10-24,Non,Oui
Noémie'N Patisserie,"78 Rue de la République, 38430 Moirans, France",Moirans,Superette,"lundi: Fermé; mardi: 08:30 – 12:00, 15:00 – 19:00; mercredi: 08:30 – 12:00, 15:00 – 19:00; jeudi: 08:30 – 12:00, 15:00 – 19:00; vendredi: 08:30 – 12:00, 15:00 – 19:00; samedi: 08:00 – 12:30, 15:00 – 19:00; dimanche: 08:00 – 12:30",65,4.6,1,2025-10-22,2025-10-24,Non,Oui
Numbr - Expert-comptable à Marseille,"6 All. Turcat Méry, 13008 Marseille, France",Marseille,Comptable,lundi: 08:45 – 17:15; mardi: 08:45 – 17:15; mercredi: 08:45 – 17:15; jeudi: 08:45 – 17:15; vendredi: 08:45 – 17:15; samedi: Fermé; dimanche: Fermé,305,4.9,2,2025-10-22,2025-10-24,Non,Oui
Office Decorps-Serri & Associés,"541 Av. du Prado, 13008 Marseille, France",Marseille,Notaire,lundi: 09:00 – 18:00; mardi: 09:00 – 18:00; mercredi: 09:00 – 18:00; jeudi: 09:00 – 18:00; vendredi: 09:00 – 18:00; samedi: Fermé; dimanche: Fermé,95,4.5,2,2025-10-22,2025-10-24,Non,Oui
Office Notarial Marseille Prado Michelet - Franck Gaudin,"152 Bd Michelet, 13008 Marseille, France",Marseille,Notaire,,,,,2025-10-22,2025-10-22,Non,Oui
Office Notarial ZOGRAPHOS - notaire à Marseille (13008),"511 Rue Paradis, 13008 Marseille, France",Marseille,Notaire,,,,,2025-10-22,2025-10-22,Non,Oui
oscarmatteoreseal,"115 Chem. du Gros Bois, 38500 Coublevie, France",Coublevie,Vin_Spritueux,Non disponible,0,0.0,0,2025-10-22,2025-10-24,Non,Oui
Ouria Djellouli,"127 Rue de Rome, 13006 Marseille, France",Marseille,Avocat,,,,,2025-10-22,2025-10-22,Non,Oui
OVNIvins,"50 Pass. des Ateliers, 38140 Rives, France",Rives,Vin_Spritueux,"lundi: Fermé; mardi: 09:00 – 12:30, 15:00 – 19:30; mercredi: 09:00 – 12:30, 15:00 – 19:30; jeudi: 09:00 – 12:30, 15:00 – 19:30; vendredi: 09:00 – 12:30, 15:00 – 19:30; samedi: 09:00 – 12:30, 15:00 – 19:00; dimanche: Fermé",0,0.0,2,2025-10-22,2025-10-24,Non,Oui
Paris Store Marseille,"61 Bd de Plombières, 13003 Marseille, France",Marseille,Superette,lundi: 09:30 – 19:30; mardi: 09:30 – 19:30; mercredi: 09:30 – 19:30; jeudi: 09:30 – 19:30; vendredi: 09:30 – 19:30; samedi: 09:30 – 19:30; dimanche: Fermé,3605,4.2,1,2025-10-22,2025-10-24,Non,Oui
Pecherie Marseillaise,"21 Rue Longue des Capucins, 13001 Marseille, France",Marseille,Poissonnerie,lundi: Fermé; mardi: 07:30 – 19:30; mercredi: 07:30 – 19:30; jeudi: 07:30 – 19:30; vendredi: 07:30 – 19:30; samedi: 07:30 – 19:30; dimanche: 07:30 – 19:30,97,4.3,1,2025-10-22,2025-10-24,Non,Oui
PHARMACIE DE LA PREFECTURE,"105A Rue de Rome, 13006 Marseille, France",Marseille,Pharmacien,lundi: 09:00 – 19:30; mardi: 09:00 – 19:30; mercredi: 09:00 – 19:30; jeudi: 09:00 – 19:30; vendredi: 09:00 – 19:30; samedi: 10:00 – 18:30; dimanche: Fermé,74,2.2,1,2025-10-22,2025-10-24,Non,Oui
Pharmacie Grand Littoral,"ZAC de Saint André, Centre Commercial Grand Littoral, 13016 Marseille, France",Marseille,Pharmacien,lundi: 08:30 – 20:00; mardi: 08:30 – 20:00; mercredi: 08:30 – 20:00; jeudi: 08:30 – 20:00; vendredi: 08:30 – 20:00; samedi: 08:30 – 20:00; dimanche: Fermé,242,3.4,1,2025-10-22,2025-10-24,Non,Oui
PHARMACIE PLANCHE Marseille 13001,"1 Bd de la Libération, 13001 Marseille, France",Marseille,Pharmacien,,,,,2025-10-22,2025-10-22,Non,Oui
Pharmacie Saint jeannaise,"90 Rue Veuve Emile Murge, 38430 Saint-Jean-de-Moirans, France",Saint-Jean-de-Moirans,Pharmacien,"lundi: 08:15 – 12:00, 14:00 – 19:00; mardi: 08:15 – 12:00, 14:00 – 19:00; mercredi: 08:15 – 12:00, 14:00 – 19:00; jeudi: 08:15 – 12:00, 14:00 – 19:00; vendredi: 08:15 – 12:00, 14:00 – 19:00; samedi: 08:30 – 12:30; dimanche: Fermé",28,4.8,1,2025-10-22,2025-10-24,Non,Oui
Pharmacie Saint Louis,"89 Av. de Saint-Louis, 13015 Marseille, France",Marseille,Pharmacien,,,,,2025-10-22,2025-10-22,Non,Oui
Philippe Haguet,"84 Espl. Jacques Barfety, 38430 Moirans, France",Moirans,Médecin,Non disponible,2,5,0,2025-10-22,2025-10-24,Non,Oui
"Pierrot Coquillages Kiosque, Restaurant, Livraison de fruits de mer & Poissons","355 Av. du Prado, 13008 Marseille, France",Marseille,Poissonnerie,"lundi: 07:00 – 22:00; mardi: 07:00 – 22:00; mercredi: 07:00 – 22:00; jeudi: 07:00 – 22:00; vendredi: 07:00 – 22:00; samedi: 07:00 – 22:00; dimanche: 07:00 – 14:00, 16:00 – 22:00",1327,4.5,0,2025-10-22,2025-10-24,Non,Oui
Piou,"74 Rue Grignan, 13001 Marseille, France",Marseille,Superette,lundi: 10:00 – 19:30; mardi: 10:00 – 19:30; mercredi: 10:00 – 19:30; jeudi: 10:00 – 19:30; vendredi: 10:00 – 19:30; samedi: 10:00 – 19:30; dimanche: Fermé,78,4.8,1,2025-10-22,2025-10-24,Non,Oui
Plomb & style,"71 Chem. Gilbert Charmasson, 13016 Marseille, France",Marseille,Plombier,lundi: 08:00 – 18:30; mardi: 08:00 – 18:30; mercredi: 08:00 – 18:30; jeudi: 08:00 – 18:30; vendredi: 08:00 – 18:30; samedi: 08:00 – 18:30; dimanche: Fermé,38,5,1,2025-10-22,2025-10-24,Non,Oui
"PNM Cabinet Expertise Comptable, Marseille","36 Rue Saint-Jacques, 13006 Marseille, France",Marseille,Comptable,"lundi: 08:30 – 12:00, 14:00 – 18:00; mardi: 08:30 – 12:00, 14:00 – 18:00; mercredi: 08:30 – 12:00, 14:00 – 18:00; jeudi: 08:30 – 12:00, 14:00 – 18:00; vendredi: 08:30 – 12:00; samedi: Fermé; dimanche: Fermé",76,5,2,2025-10-22,2025-10-24,Non,Oui
Poissonnerie,"85 Bd Bompard, 13007 Marseille, France",Marseille,Poissonnerie,lundi: Fermé; mardi: Fermé; mercredi: 18:00 – 23:00; jeudi: Fermé; vendredi: Fermé; samedi: Fermé; dimanche: Fermé,27,4.8,6,2025-10-22,2025-10-24,Non,Oui
Poissonnerie & Restaurant de l’estaque,"56 Plage de l'Estaque, 13016 Marseille, France",Marseille,Poissonnerie,lundi: Fermé; mardi: 08:00 – 20:00; mercredi: 08:00 – 20:00; jeudi: 09:00 – 20:00; vendredi: 08:00 – 20:00; samedi: 08:00 – 20:00; dimanche: 08:00 – 13:00,230,4.8,1,2025-10-22,2025-10-24,Non,Oui
Poissonnerie - La Criée du Marché des Argonautes,"33 Bd Longchamp, 13001 Marseille, France",Marseille,Poissonnerie,lundi: Fermé; mardi: 08:00 – 19:30; mercredi: 08:00 – 22:00; jeudi: 08:00 – 22:00; vendredi: 08:00 – 22:00; samedi: 08:00 – 22:00; dimanche: 09:00 – 13:00,178,4.5,1,2025-10-22,2025-10-24,Non,Oui
Poissonnerie Au Poisson Siffleur Saint Victoret,"344 Bd Barthélémy Abbadie, 13730 Saint-Victoret, France",Saint-Victoret,Poissonnerie,"lundi: Fermé; mardi: 08:00 – 13:00, 15:30 – 20:00; mercredi: 08:00 – 13:00, 15:30 – 20:00; jeudi: 08:00 – 20:00; vendredi: 08:00 – 20:00; samedi: 08:00 – 20:00; dimanche: 08:00 – 13:00",380,4.5,1,2025-10-22,2025-10-24,Non,Oui
Poissonnerie Chez Yves,"Pl. Sébastopol, 13004 Marseille, France",Marseille,Poissonnerie,,,,,2025-10-22,2025-10-22,Non,Oui
Poissonnerie coquillages montredon LA MER A BOIRE Coquillages Montredon,"73 Av. de la Madrague de Montredon, 13008 Marseille, France",Marseille,Poissonnerie,"lundi: Fermé; mardi: 09:00 – 13:30; mercredi: 09:00 – 13:30; jeudi: 09:00 – 13:30, 16:30 – 20:30; vendredi: 09:00 – 13:30, 16:30 – 20:30; samedi: 09:00 – 13:30, 16:30 – 20:30; dimanche: 09:00 – 13:30",46,4.3,1,2025-10-22,2025-10-24,Non,Oui
Poissonnerie du Golfe,"22 Rue Dr Combalat, 13006 Marseille, France",Marseille,Poissonnerie,lundi: Fermé; mardi: 08:00 – 13:00; mercredi: 08:00 – 13:00; jeudi: 08:00 – 13:00; vendredi: 08:00 – 13:00; samedi: 08:00 – 13:00; dimanche: Fermé,56,4.7,2,2025-10-22,2025-10-24,Non,Oui
Poissonnerie du Lamparo,"2 Rue du Marché des Capucins, 13001 Marseille, France",Marseille,Poissonnerie,Non disponible,20,3.5,0,2025-10-22,2025-10-24,Non,Oui
Poissonnerie Gautier,"Rue Barjon, 38430 Moirans, France",Moirans,Poissonnerie,lundi: Fermé; mardi: Fermé; mercredi: 07:00 – 17:00; jeudi: 07:00 – 17:00; vendredi: 07:00 – 17:00; samedi: 07:00 – 17:00; dimanche: Fermé,18,4.3,3,2025-10-22,2025-10-24,Non,Oui
Poissonnerie Kennedy,"245 Cor Président John Fitzgerald Kennedy, 13007 Marseille, France",Marseille,Poissonnerie,"lundi: Fermé; mardi: Fermé; mercredi: 12:00 – 15:00, 18:00 – 23:00; jeudi: 12:00 – 15:00, 18:00 – 23:00; vendredi: 12:00 – 15:00, 18:00 – 23:00; samedi: 12:00 – 15:00, 18:00 – 23:00; dimanche: 12:00 – 23:00",272,4.1,2,2025-10-22,2025-10-24,Non,Oui
Poissonnerie La Bonne Mer,"13 Rue Fort du Sanctuaire, 13006 Marseille, France",Marseille,Poissonnerie,"lundi: Fermé; mardi: Fermé; mercredi: 12:00 – 14:00, 19:00 – 23:00; jeudi: 10:00 – 14:00, 19:00 – 23:00; vendredi: 10:00 – 14:00, 19:00 – 23:00; samedi: 10:00 – 14:00, 19:00 – 23:00; dimanche: 09:00 – 14:30",168,4.6,2,2025-10-22,2025-10-24,Non,Oui
Poissonnerie La Calanque Marché du Prado,"25 Av. du Prado, 13006 Marseille, France",Marseille,Poissonnerie,lundi: Fermé; mardi: 07:00 – 13:00; mercredi: 07:00 – 13:00; jeudi: 07:00 – 13:00; vendredi: 07:00 – 13:00; samedi: 07:00 – 13:00; dimanche: Fermé,45,4.8,2,2025-10-22,2025-10-24,Non,Oui
Poissonnerie la Galinette,"42 Rue Pierre Béranger, 13012 Marseille, France",Marseille,Poissonnerie,"lundi: Fermé; mardi: 07:00 – 13:00; mercredi: 07:00 – 13:00; jeudi: 07:00 – 13:00; vendredi: 07:00 – 13:00, 17:00 – 20:00; samedi: 07:00 – 13:00, 17:00 – 20:00; dimanche: Fermé",53,4.3,2,2025-10-22,2025-10-24,Non,Oui
Primo Amore,"24 Rue Lulli, 13001 Marseille, France",Marseille,Superette,lundi: 09:30 – 17:00; mardi: 09:30 – 17:00; mercredi: 09:30 – 17:00; jeudi: 09:30 – 17:00; vendredi: 09:30 – 17:00; samedi: 09:30 – 19:00; dimanche: Fermé,103,4.4,1,2025-10-22,2025-10-24,Non,Oui
Provenc'Halles,"Imp. de Grand Plan Menu, 38500 Coublevie, France",Coublevie,Superette,"lundi: 08:30 – 12:30, 14:00 – 19:30; mardi: 08:30 – 12:30, 14:00 – 19:30; mercredi: 08:30 – 12:30, 14:00 – 19:30; jeudi: 08:30 – 12:30, 14:00 – 19:30; vendredi: 08:30 – 19:30; samedi: 08:30 – 19:30; dimanche: Fermé",310,4.1,1,2025-10-22,2025-10-24,Non,Oui
Provence Class Driver,"10 Trav. de la Chèvre, 13015 Marseille, France",Marseille,Chauffeur,lundi: Ouvert 24h/24; mardi: Ouvert 24h/24; mercredi: Ouvert 24h/24; jeudi: Ouvert 24h/24; vendredi: Ouvert 24h/24; samedi: Ouvert 24h/24; dimanche: Ouvert 24h/24,58,4.9,6,2025-10-22,2025-10-24,Non,Oui
Provence Vtc Marseille Aeroport,"15 Trav. du Conglu, 13008 Marseille, France",Marseille,Chauffeur,lundi: Ouvert 24h/24; mardi: Ouvert 24h/24; mercredi: Ouvert 24h/24; jeudi: Ouvert 24h/24; vendredi: Ouvert 24h/24; samedi: Ouvert 24h/24; dimanche: Ouvert 24h/24,357,4.9,6,2025-10-22,2025-10-24,Non,Oui
Proxi Moirans,"95 Rue de la République, 38430 Moirans, France",Moirans,Superette,lundi: 07:30 – 21:45; mardi: 07:30 – 21:45; mercredi: 07:30 – 21:45; jeudi: 07:30 – 21:45; vendredi: 07:30 – 21:45; samedi: 07:30 – 21:45; dimanche: 07:30 – 21:45,5,4.6,0,2025-10-22,2025-10-24,Non,Oui
Pôle formation Isère - Site de Moirans,"83 Rue de Chatagnon, 38430 Moirans, France",Moirans,Enseignant,"lundi: 07:45 – 12:00, 13:00 – 16:30; mardi: 07:45 – 12:00, 13:00 – 16:30; mercredi: 07:45 – 12:00, 13:00 – 16:30; jeudi: 07:45 – 12:00, 13:00 – 16:30; vendredi: 07:45 – 12:00, 13:00 – 15:45; samedi: Fermé; dimanche: Fermé",47,4.1,2,2025-10-22,2025-10-24,Non,Oui
Raisin Crème,"16 Av. des Goumiers, 13008 Marseille, France",Marseille,Fromagerie_Laiterie,"lundi: Fermé; mardi: 09:30 – 13:30, 16:30 – 19:30; mercredi: 09:30 – 13:30, 16:30 – 19:30; jeudi: 09:30 – 13:30, 16:30 – 19:30; vendredi: 09:30 – 13:30, 16:30 – 19:30; samedi: 09:30 – 13:00, 16:30 – 19:30; dimanche: Fermé",80,4.8,2,2025-10-22,2025-10-24,Non,Oui
RDS Traiteur - Traiteur Halal Marseille - Location Salle réception - Location Plateau technique - Cuisson Basse Température,"185 Av. de Mazargues, 13008 Marseille, France",Marseille,Boucherie_traiteur_rotisseur,Non disponible,142,4.9,0,2025-10-22,2025-10-24,Non,Oui
RESTAURANT LE CLOS ROMAIN,"CENTR'ALP, 285 Rue du Rocher de Lorzier, 38430 Moirans, France",Moirans,Vin_Spritueux,"lundi: 12:00 – 14:30; mardi: 12:00 – 14:30; mercredi: 12:00 – 14:30; jeudi: 12:00 – 14:30, 19:00 – 23:00; vendredi: 12:00 – 14:30, 19:00 – 23:00; samedi: Fermé; dimanche: Fermé",548,4.5,2,2025-10-22,2025-10-24,Non,Oui
Rive Sud Vins,"10 Rue de la Tour, 13001 Marseille, France",Marseille,Vin_Spritueux,lundi: Fermé; mardi: 11:30 – 20:00; mercredi: 11:30 – 20:00; jeudi: 11:30 – 20:00; vendredi: 11:30 – 20:00; samedi: 11:30 – 20:00; dimanche: Fermé,137,5,2,2025-10-22,2025-10-24,Non,Oui
RM Luxury Transport - Chauffeur privé Marseille Provence - VTC Marseille - Aéroport Marseille - gare - Van / Berline,"3 Chem. de la Martine, 13015 Marseille, France",Marseille,Chauffeur,lundi: Ouvert 24h/24; mardi: Ouvert 24h/24; mercredi: Ouvert 24h/24; jeudi: Ouvert 24h/24; vendredi: Ouvert 24h/24; samedi: Ouvert 24h/24; dimanche: Ouvert 24h/24,87,4.9,6,2025-10-22,2025-10-24,Non,Oui
Robin Pierre,"4 Rue d'Angkor, 13006 Marseille, France",Marseille,Médecin,lundi: 14:30 – 19:00; mardi: 14:30 – 19:00; mercredi: 14:30 – 19:00; jeudi: 14:30 – 19:00; vendredi: 14:30 – 19:00; samedi: Fermé; dimanche: Fermé,51,4.9,2,2025-10-22,2025-10-24,Non,Oui
ROSSI BRINCOURT - Notaires associés,"25 Rue Sylvabelle, 13006 Marseille, France",Marseille,Notaire,,,,,2025-10-22,2025-10-22,Non,Oui
Royaume de la Chantilly - Marseille 4ème,"Royaume De La Chantilly, 2 Rue Granoux, 13004 Marseille, France",Marseille,Fromagerie_Laiterie,"lundi: Fermé; mardi: 08:00 – 13:00, 16:00 – 19:30; mercredi: 08:00 – 13:00, 16:00 – 19:30; jeudi: 08:00 – 13:00, 16:00 – 19:30; vendredi: 08:00 – 13:00, 16:00 – 19:30; samedi: 08:00 – 13:00, 16:00 – 19:30; dimanche: 08:00 – 12:30",251,4.5,1,2025-10-22,2025-10-24,Non,Oui
ROYOL RAJZMAN FRITSCH MORANZONI NOTAIRES,"Les Hesperides, 68 Bd des Alpes, 13012 Marseille, France",Marseille,Notaire,"lundi: 09:00 – 12:00, 14:00 – 18:00; mardi: 09:00 – 12:00, 14:00 – 18:00; mercredi: 09:00 – 12:00, 14:00 – 18:00; jeudi: 09:00 – 12:00, 14:00 – 18:00; vendredi: 09:00 – 12:00, 14:00 – 18:00; samedi: Fermé; dimanche: Fermé",95,4.5,2,2025-10-22,2025-10-24,Non,Oui
Sabrina Guez Pâtissière,"62 Bd Bompard, 13007 Marseille, France",Marseille,Boulanger_Patissier,,,,,2025-10-22,2025-10-22,Non,Oui
Salon Stephane Coiffeur barbershop,"148 Rue d'Endoume, 13007 Marseille, France",Marseille,Coiffeur_Barbier,lundi: Fermé; mardi: 09:00 – 19:00; mercredi: 09:00 – 19:00; jeudi: 09:00 – 19:00; vendredi: 09:00 – 19:00; samedi: 09:00 – 19:00; dimanche: Fermé,100,5,2,2025-10-22,2025-10-24,Non,Oui
Sarl Le Cellier de Gravillas,"Chem. du Gigot, 38340 Voreppe, France",Voreppe,Vin_Spritueux,lundi: 15:00 – 19:00; mardi: 09:00 – 19:00; mercredi: 09:00 – 19:00; jeudi: 09:00 – 19:00; vendredi: 09:00 – 19:00; samedi: 09:00 – 19:00; dimanche: 09:00 – 13:00,132,4.8,0,2025-10-22,2025-10-24,Non,Oui
Sarl Poissonnerie Provencale,"123 Av. de Saint-Julien, 13012 Marseille, France",Marseille,Poissonnerie,"lundi: Fermé; mardi: 07:00 – 13:30; mercredi: 07:00 – 13:30; jeudi: 07:00 – 13:30; vendredi: 07:00 – 13:30, 17:00 – 19:30; samedi: 07:00 – 20:00; dimanche: 09:00 – 13:00",26,4.8,1,2025-10-22,2025-10-24,Non,Oui
SAS PERFETTI CAMPANA BARBEROUX COHEN KHAIAT,"22 Bd Gaston Crémieux, 13008 Marseille, France",Marseille,Notaire,"lundi: 09:00 – 12:00, 14:00 – 18:00; mardi: 09:00 – 12:00, 14:00 – 18:00; mercredi: 09:00 – 12:00, 14:00 – 18:00; jeudi: 09:00 – 12:00, 14:00 – 18:00; vendredi: 09:00 – 12:00, 14:00 – 17:00; samedi: Fermé; dimanche: Fermé",45,3.7,2,2025-10-22,2025-10-24,Non,Oui
Saveurs Et Nectars,"31 Rue Rose Sage, 38500 Voiron, France",Voiron,Boucherie_traiteur_rotisseur,"lundi: Fermé; mardi: 09:00 – 13:00, 16:00 – 19:00; mercredi: Fermé; jeudi: 09:00 – 13:00, 16:00 – 19:00; vendredi: 09:00 – 13:00, 16:00 – 19:00; samedi: 09:00 – 13:00, 16:00 – 19:00; dimanche: Fermé",38,4.1,3,2025-10-22,2025-10-24,Non,Oui
Saveurs Provencales,"77 Bd Eugène Pierre, 13005 Marseille, France",Marseille,Superette,lundi: 07:00 – 20:00; mardi: 07:00 – 20:00; mercredi: 07:00 – 20:00; jeudi: 07:00 – 20:00; vendredi: 07:00 – 20:00; samedi: 07:00 – 20:00; dimanche: 07:00 – 20:00,51,4.2,0,2025-10-22,2025-10-24,Non,Oui
SCI BOXNOT MOIRANS,"1 Imp. de la Coste, 38430 Moirans, France",Moirans,Notaire,Non disponible,0,0.0,0,2025-10-22,2025-10-24,Non,Oui
SCP GIUSTINIANI-PARIS NOTAIRES A MARSEILLE,"66 Rue Grignan, 13001 Marseille, France",Marseille,Notaire,"lundi: 09:00 – 12:00, 13:30 – 17:30; mardi: 09:00 – 12:00, 13:30 – 17:30; mercredi: 09:00 – 12:00, 13:30 – 17:30; jeudi: 09:00 – 12:00, 13:30 – 17:30; vendredi: 09:00 – 12:00, 13:30 – 17:30; samedi: Fermé; dimanche: Fermé",67,4.5,2,2025-10-22,2025-10-24,Non,Oui
Selce Nicolas,"84 Espl. Jacques Barfety, 38430 Moirans, France",Moirans,Médecin,Non disponible,3,5,0,2025-10-22,2025-10-24,Non,Oui
Sett Rhône Alpes,"340 rue De L'Eygaia, 38430 Moirans, France",Moirans,Enseignant,"lundi: 08:00 – 12:30, 14:00 – 18:00; mardi: 08:00 – 12:30, 14:00 – 18:00; mercredi: 08:00 – 12:30, 14:00 – 18:00; jeudi: 08:00 – 12:30, 14:00 – 18:00; vendredi: 08:00 – 12:30, 14:00 – 18:00; samedi: Fermé; dimanche: Fermé",2,5,2,2025-10-22,2025-10-24,Non,Oui
Smiile Traiteur Marseille,"7 Rue Neuve Sainte-Catherine, 13007 Marseille, France",Marseille,Boucherie_traiteur_rotisseur,Non disponible,70,4.8,0,2025-10-22,2025-10-24,Non,Oui
